% Model:              prototipo thgem_Garfield_2_1_light_3.mph
% Version:            COMSOL 5.1.0.234
% Date:               Sep 30 2020, 18:40
% Dimension:          3
% Nodes:              14326
% Expressions:        1
% Description:        Electric potential
% Length unit:        mm
% x             y              z              V (V)
0.0000          -0.0093782     1.0000         -200.00
0.035000        -0.0093782     1.0000         -200.00
0.017285        -0.0093782     0.97724        -198.60
0.070000        -0.0093782     1.0000         -200.00
0.052285        -0.0093782     0.97724        -198.60
0.034570        -0.0093782     0.95447        -197.21
0.017445        0.010864       1.0000         -200.00
0.052445        0.010864       1.0000         -200.00
0.034730        0.010864       0.97724        -198.60
0.034891        0.031106       1.0000         -200.00
0.017445        0.041094       1.0000         -200.00
0.034949        0.051277       1.0000         -200.00
-3.7022E-18     0.051083       1.0000         -200.00
0.017503        0.061265       1.0000         -200.00
0.035007        0.071448       1.0000         -200.00
0.017445        0.051009       0.98071        -198.82
-4.3093E-18     0.060998       0.98071        -198.82
0.017503        0.071180       0.98071        -198.82
-4.9164E-18     0.070913       0.96142        -197.63
0.0000          0.11187        1.0000         -200.00
0.017503        0.091656       1.0000         -200.00
-1.8511E-18     0.081474       1.0000         -200.00
-2.4582E-18     0.091389       0.98071        -198.82
-1.8511E-18     0.020852       1.0000         -200.00
-1.2332E-18     0.010761       0.98091        -198.83
-3.0843E-18     0.040991       0.98091        -198.83
0.017445        0.031003       0.98091        -198.83
-2.4663E-18     0.030900       0.96181        -197.66
0.017285        0.010761       0.95814        -197.43
-3.6914E-18     0.050906       0.96161        -197.64
0.070000        0.021013       1.0000         -200.00
0.052445        0.041255       1.0000         -200.00
0.070000        0.051404       1.0000         -200.00
0.070000        0.010099       0.98153        -198.87
0.052445        0.030341       0.98153        -198.87
0.070000        0.040490       0.98153        -198.87
0.070000        0.029576       0.96305        -197.73
0.052285        0.010099       0.95876        -197.47
0.070000        -0.0093782     0.96774        -198.02
0.070000        -0.0093782     0.93547        -196.04
0.052285        -0.0093782     0.94497        -196.62
0.070000        0.010099       0.94926        -196.89
0.034945        0.041076       0.97194        -198.28
0.017499        0.040973       0.95285        -197.11
0.017499        0.060979       0.95265        -197.09
0.034999        0.051046       0.94388        -196.56
0.052499        0.020834       0.93968        -196.30
0.034784        0.020834       0.94918        -196.88
0.052499        0.040311       0.95347        -197.14
0.035003        0.061247       0.97194        -198.28
0.052445        0.050989       0.98136        -198.86
0.070000        0.070872       0.96273        -197.71
0.070000        0.061138       0.98136        -198.86
0.070000        0.050224       0.96289        -197.72
0.052503        0.071160       0.98136        -198.86
0.052499        0.060959       0.95331        -197.13
0.052503        0.061426       1.0000         -200.00
0.017729        0.11187        0.97710        -198.59
0.035458        0.11187        0.95419        -197.19
0.035233        0.091656       0.97710        -198.59
0.017729        0.091389       0.95780        -197.41
0.052503        0.091656       1.0000         -200.00
0.052729        0.11187        0.97710        -198.59
0.070000        0.11187        1.0000         -200.00
0.052729        0.091369       0.95846        -197.45
0.070000        0.091369       0.98136        -198.86
0.035000        0.11187        1.0000         -200.00
0.070000        0.081635       1.0000         -200.00
0.0000          0.11187        0.96775        -198.02
0.0000          0.11187        0.93549        -196.04
0.017729        0.11187        0.94484        -196.61
-2.4582E-18     0.091389       0.94845        -196.84
0.035229        0.081456       0.94904        -196.87
0.017499        0.081456       0.93969        -196.30
0.052268        -0.0093782     0.91879        -195.02
0.034537        -0.0093782     0.90211        -193.99
0.034553        -0.0093782     0.92829        -195.60
0.034768        0.020834       0.92300        -195.27
0.0000          -0.0093782     0.96863        -198.07
0.017285        -0.0093782     0.94587        -196.68
0.0000          -0.0093782     0.93726        -196.15
-1.2332E-18     0.010761       0.94954        -196.90
0.017268        -0.0093782     0.91969        -195.07
0.017499        0.020834       0.94057        -196.35
-3.6466E-18     0.050175       0.90391        -194.10
-3.0565E-18     0.040537       0.93286        -195.88
-1.8233E-18     0.020398       0.92059        -195.13
0.017499        0.050610       0.92390        -195.33
-4.2815E-18     0.060544       0.93266        -195.87
0.017268        0.020398       0.90301        -194.05
-1.8233E-18     0.081020       0.91970        -195.07
0.070000        0.021301       0.92106        -195.16
0.070000        0.051981       0.90665        -194.27
0.052268        0.021301       0.90438        -194.13
0.052499        0.051514       0.92527        -195.41
0.070000        -0.0093782     0.90103        -193.93
0.070000        0.021301       0.88662        -193.04
0.070000        -0.0093782     0.86659        -191.81
0.052268        -0.0093782     0.88435        -192.90
0.070000        0.040779       0.93485        -196.00
0.070000        0.061427       0.93469        -195.99
0.035537        0.11187        0.89968        -193.84
0.035498        0.11187        0.92694        -195.52
0.017768        0.11187        0.91759        -194.94
0.035268        0.081456       0.92178        -195.20
0.017768        0.081020       0.90179        -193.97
0.052729        0.11187        0.94577        -196.67
0.070000        0.11187        0.93734        -196.15
0.070000        0.091369       0.95003        -196.93
0.052499        0.081456       0.94061        -196.36
0.052768        0.11187        0.91851        -195.00
0.070000        0.081923       0.92200        -195.21
0.070000        0.11187        0.96867        -198.08
0.052768        0.081923       0.90316        -194.06
0.0000          0.11187        0.86664        -191.81
0.017768        0.11187        0.88316        -192.83
0.0000          0.11187        0.90107        -193.93
-1.8233E-18     0.081020       0.88527        -192.96
0.052196        -0.0093782     0.85775        -191.27
0.052196        0.021301       0.87778        -192.50
0.034391        -0.0093782     0.84891        -190.73
0.034464        -0.0093782     0.87551        -192.36
0.017196        0.020398       0.87641        -192.41
0.035000        0.051078       0.90528        -194.19
0.0000          -0.0093782     0.87036        -192.04
0.017196        -0.0093782     0.85964        -191.39
-1.8233E-18     0.020398       0.88714        -193.07
0.017268        -0.0093782     0.88624        -193.02
0.0000          -0.0093782     0.90381        -194.10
-1.9138E-18     0.082498       0.85039        -190.82
0.017768        0.082498       0.86691        -191.83
-3.7371E-18     0.051653       0.86902        -191.96
-3.8276E-18     0.053130       0.83413        -189.82
-1.9138E-18     0.021876       0.85225        -190.93
0.017196        0.021876       0.84152        -190.27
0.070000        0.020501       0.85060        -190.83
0.070000        -0.0093782     0.83199        -189.69
0.070000        0.050381       0.83460        -189.85
0.070000        0.020501       0.81600        -188.71
0.070000        -0.0093782     0.79740        -187.57
0.052196        0.020501       0.84176        -190.29
0.052196        -0.0093782     0.82316        -189.15
0.035000        0.050278       0.86926        -191.98
0.052768        0.081123       0.86714        -191.85
0.070000        0.051181       0.87063        -192.06
0.035000        0.051756       0.83437        -189.83
